날짜,종목코드,시가,고가,저가,종가,출처
2025-06-30,117690,19398,20296,18771,19800,Naver
2025-06-30,117700,3805,4665,3800,4380,Naver
2025-06-30,122090,24169,28558,24015,27991,Naver
2025-06-30,122630,17375,23950,17315,23180,Naver
2025-06-30,123310,4680,4700,3965,4045,Naver
2025-06-30,123320,17075,23621,17035,22821,Naver
2025-06-30,130680,3810,4754,3810,4088,Naver
2025-06-30,130730,99957,102914,99957,100147,Naver
2025-06-30,131890,18480,20845,18405,20240,Naver
2025-06-30,132030,19547,20383,19209,19388,Naver
2025-06-30,133690,130043,136024,128539,135432,Naver
2025-06-30,137610,5353,5541,5219,5278,Naver
2025-06-30,138230,15501,15793,14937,15204,Naver
2025-06-30,138520,11452,12885,11402,12526,Naver
2025-06-30,138530,6339,6987,6284,6777,Naver
2025-06-30,138540,28995,34681,28960,32887,Naver
2025-06-30,138920,10850,11499,10666,10905,Naver
2025-06-30,139230,8851,11546,8826,11172,Naver
2025-06-30,139240,9005,11562,8906,11183,Naver
2025-06-30,139250,9840,11360,9721,11360,Naver
2025-06-30,139260,26454,33398,26419,32397,Naver
2025-06-30,139270,9807,11693,9500,11244,Naver
2025-06-30,139290,16131,17804,15902,17102,Naver
2025-06-30,139660,8505,8700,8470,8685,Naver
2025-06-30,140570,12509,14350,12469,14251,Naver
2025-06-30,140580,13620,15369,13471,15210,Naver
2025-06-30,140700,9670,11470,9450,11275,Naver
2025-06-30,140710,5775,6065,5740,5790,Naver
2025-06-30,140950,27042,31811,26972,31314,Naver
2025-06-30,143850,62182,65213,61910,64630,Naver
2025-06-30,143860,37685,39730,37150,37755,Naver
2025-06-30,144600,5801,6539,5786,6320,Naver
2025-06-30,145670,5305,5305,4460,4535,Naver
2025-06-30,145850,40030,45868,40030,45285,Naver
2025-06-30,148020,36001,42268,35907,41653,Naver
2025-06-30,148070,112706,113083,111458,112590,Naver
2025-06-30,150460,7285,7919,7285,7894,Naver
2025-06-30,152100,36303,42681,36248,42114,Naver
2025-06-30,152380,70192,70311,69312,70004,Naver
2025-06-30,152500,7029,9656,6985,9364,Naver
2025-06-30,152870,36266,42401,36166,41973,Naver
2025-06-30,153130,111205,111379,111190,111379,Naver
2025-06-30,156080,16105,18750,16065,18505,Naver
2025-06-30,157450,109421,109634,109416,109619,Naver
2025-06-30,157490,8040,11090,7995,10125,Naver
2025-06-30,157500,7595,9940,7345,9405,Naver
2025-06-30,159800,27425,32360,27420,31830,Naver
2025-06-30,160580,11735,12540,11705,12255,Naver
2025-06-30,161510,16582,18481,16243,18373,Naver
2025-06-30,166400,12729,13553,12419,13548,Naver
2025-06-30,167860,111047,111284,108353,110309,Naver
2025-06-30,168580,26137,26651,25692,26475,Naver
2025-06-30,169950,20619,21470,20421,20916,Naver
2025-06-30,174350,14522,16041,14333,15957,Naver
2025-06-30,176950,53246,53904,53246,53528,Naver
2025-06-30,181480,78749,81207,78712,79299,Naver
2025-06-30,182490,13336,13470,13176,13405,Naver
2025-06-30,183700,62184,64979,61971,64656,Naver
