날짜,종목코드,시가,고가,저가,종가,출처
2025-06-05,138920,10845,10885,10820,10820,Naver
2025-06-05,139220,4175,4250,4050,4215,Naver
2025-06-05,139230,9405,9410,9210,9305,Naver
2025-06-05,139240,9260,9394,9245,9290,Naver
2025-06-05,139250,10374,10459,10304,10394,Naver
2025-06-05,139260,27929,28557,27624,28108,Naver
2025-06-05,139270,10212,10306,10060,10227,Naver
2025-06-05,139280,10566,10621,10502,10517,Naver
2025-06-05,139290,16255,16589,16255,16430,Naver
2025-06-05,139320,14529,14569,14479,14509,Naver
2025-06-05,139660,8600,8660,8600,8630,Naver
2025-06-05,140570,12964,13053,12914,12964,Naver
2025-06-05,140580,13976,14105,13966,14026,Naver
2025-06-05,140700,10220,10835,10095,10600,Naver
2025-06-05,140710,5990,6060,5880,5930,Naver
2025-06-05,140950,28106,28618,28036,28335,Naver
2025-06-05,143850,62958,62998,62909,62948,Naver
2025-06-05,143860,37625,37840,37150,37405,Naver
2025-06-05,144600,6061,6075,6051,6065,Naver
2025-06-05,145670,5105,5105,4955,5005,Naver
2025-06-05,145850,41907,41991,41907,41991,Naver
2025-06-05,147970,38896,38911,38492,38706,Naver
2025-06-05,148020,37371,38130,37351,37768,Naver
2025-06-05,148070,112328,112328,111850,111874,Naver
2025-06-05,150460,7410,7465,7385,7430,Naver
2025-06-05,152100,37723,38482,37693,38090,Naver
2025-06-05,152380,69831,69841,69549,69554,Naver
2025-06-05,152500,7548,7859,7538,7706,Naver
2025-06-05,152870,37668,38351,37639,37933,Naver
2025-06-05,153130,111240,111250,111230,111235,Naver
2025-06-05,153270,27693,28219,27658,27876,Naver
2025-06-05,156080,16710,17000,16710,16795,Naver
2025-06-05,157450,109465,109465,109450,109465,Naver
2025-06-05,157490,8020,8320,8020,8265,Naver
2025-06-05,157500,8095,8125,7860,7995,Naver
2025-06-05,159800,28515,28990,28515,28830,Naver
2025-06-05,160580,11720,11900,11705,11730,Naver
2025-06-05,161510,17109,17202,16981,17133,Naver
2025-06-05,166400,12849,12919,12849,12886,Naver
2025-06-05,167860,109840,109840,109063,109063,Naver
2025-06-05,168580,26127,26132,25751,26010,Naver
2025-06-05,169950,20841,20841,20658,20782,Naver
2025-06-05,174350,15140,15140,14930,14985,Naver
2025-06-05,174360,18129,18129,17388,17388,Naver
2025-06-05,176950,53592,53687,53592,53672,Naver
2025-06-05,181480,78953,79427,78953,79331,Naver
2025-06-05,182480,12100,12110,12020,12033,Naver
2025-06-05,182490,13295,13340,13201,13221,Yahoo
